Country/Territory,Region,C/T?,Edition,Status2011,PR_Rating,CL_Rating,A,B,C,Add_Q,Add_A,PR,D,E,F,G,CL,Score2011
Brunei,Asia,c,2011,NF,6,5,0,3,3,0,1.0,7,6,3,6,8,23,30
Bulgaria,Europe,c,2011,F,2,2,12,15,8,0,0.0,35,14,11,11,11,47,82
Burkina Faso,SSA,c,2011,PF,5,3,5,8,4,0,0.0,17,13,8,7,8,36,53
Burundi,SSA,c,2011,PF,5,5,4,6,3,0,0.0,13,8,4,4,6,22,35
Cambodia,Asia,c,2011,NF,6,5,3,3,3,0,0.0,9,9,4,1,6,20,29
Cameroon,SSA,c,2011,NF,6,6,2,3,2,0,0.0,7,7,3,2,4,16,23
Canada,Americas,c,2011,F,1,1,12,16,12,0,0.0,40,16,12,15,16,59,99
Cape Verde,SSA,c,2011,F,1,1,12,15,10,0,0.0,37,15,11,14,13,53,90
Central African Republic,SSA,c,2011,PF,5,5,5,7,3,0,0.0,15,10,5,3,4,22,37
Chad,SSA,c,2011,NF,7,6,3,1,1,0,0.0,5,7,4,2,3,16,21
Chile,Americas,c,2011,F,1,1,12,15,12,0,0.0,39,16,12,15,15,58,97
China,Asia,c,2011,NF,7,6,0,1,2,1,0.0,2,4,3,2,6,15,17
Colombia,Americas,c,2011,PF,3,4,10,10,7,0,0.0,27,12,5,7,10,34,61
Comoros,SSA,c,2011,PF,3,4,9,11,5,0,0.0,25,10,6,8,6,30,55
Congo (Brazzaville),SSA,c,2011,NF,6,5,1,3,3,0,0.0,7,8,6,2,6,22,29
Congo (Kinshasa),SSA,c,2011,NF,6,6,6,3,2,0,0.0,11,6,3,0,1,10,21
Costa Rica,Americas,c,2011,F,1,1,12,15,11,0,0.0,38,16,11,13,13,53,91
Cote d'Ivoire,SSA,c,2011,NF,7,6,2,1,1,0,0.0,4,5,4,3,4,16,20
Croatia,Europe,c,2011,F,1,2,12,15,9,0,0.0,36,14,12,11,13,50,86
Cuba,Americas,c,2011,NF,7,6,0,0,1,0,0.0,1,3,1,2,3,9,10
Cyprus,Europe,c,2011,F,1,1,11,16,11,0,0.0,38,15,12,15,14,56,94
Czech Republic,Europe,c,2011,F,1,1,12,15,11,0,0.0,38,16,12,14,15,57,95
Denmark,Europe,c,2011,F,1,1,12,16,12,0,0.0,40,16,12,14,15,57,97
Djibouti,SSA,c,2011,NF,6,5,4,3,3,0,0.0,10,7,5,5,6,23,33
Dominica,Americas,c,2011,F,1,1,12,16,10,0,0.0,38,16,12,15,15,58,96
Dominican Republic,Americas,c,2011,F,2,2,10,12,9,0,0.0,31,15,11,8,11,45,76
Ecuador,Americas,c,2011,PF,3,3,9,14,5,0,0.0,28,14,9,6,10,39,67
Egypt,MENA,c,2011,NF,6,5,1,3,2,0,0.0,6,6,2,4,7,19,25
El Salvador,Americas,c,2011,F,2,3,12,14,8,0,0.0,34,15,8,8,10,41,75
Equatorial Guinea,SSA,c,2011,NF,7,7,0,1,0,0,0.0,1,4,0,0,3,7,8
Eritrea,SSA,c,2011,NF,7,7,0,1,1,0,0.0,2,1,0,0,4,5,7
Estonia,Europe,c,2011,F,1,1,12,15,12,0,0.0,39,16,12,14,14,56,95
Ethiopia,SSA,c,2011,NF,6,6,1,3,4,0,0.0,8,4,0,4,5,13,21
Fiji,Asia,c,2011,PF,6,4,0,5,2,0,0.0,7,10,4,6,10,30,37
Finland,Europe,c,2011,F,1,1,12,16,12,0,0.0,40,16,12,16,16,60,100
France,Europe,c,2011,F,1,1,12,15,11,0,0.0,38,16,12,14,15,57,95
Gabon,SSA,c,2011,NF,6,5,2,4,3,0,0.0,9,10,4,6,5,25,34
Gaza Strip,MENA,t,2011,NF,6,6,5,2,2,0,0.0,9,4,3,0,2,9,18
Georgia,Eurasia,c,2011,PF,4,3,6,8,6,0,0.0,20,12,7,7,10,36,56
Germany,Europe,c,2011,F,1,1,12,15,12,0,0.0,39,15,12,15,15,57,96
Ghana,SSA,c,2011,F,1,2,12,15,10,0,0.0,37,14,11,12,10,47,84
Greece,Europe,c,2011,F,1,2,12,15,9,0,0.0,36,14,12,11,13,50,86
Grenada,Americas,c,2011,F,1,2,12,16,10,0,0.0,38,15,10,12,14,51,89
Guatemala,Americas,c,2011,PF,4,4,9,10,4,0,0.0,23,12,8,6,8,34,57
Guinea,SSA,c,2011,PF,5,5,5,8,1,0,0.0,14,8,6,4,4,22,36
Guinea-Bissau,SSA,c,2011,PF,4,4,9,7,2,0,0.0,18,10,8,4,5,27,45
Guyana,Americas,c,2011,F,2,3,11,13,7,0,0.0,31,15,10,7,9,41,72
Haiti,Americas,c,2011,PF,4,5,5,10,5,0,0.0,20,10,6,4,5,25,45
Honduras,Americas,c,2011,PF,4,4,6,8,5,0,0.0,19,11,6,7,9,33,52
Hong Kong,Asia,t,2011,PF,5,2,3,7,6,0,0.0,16,14,9,15,13,51,67
Hungary,Europe,c,2011,F,1,1,12,15,10,0,0.0,37,15,12,12,14,53,90
Iceland,Europe,c,2011,F,1,1,12,16,12,0,0.0,40,16,12,16,15,59,99
India,Asia,c,2011,F,2,3,11,14,9,0,0.0,34,13,10,9,10,42,76
Indian Kashmir,Asia,t,2011,PF,4,5,8,8,4,0,0.0,20,8,5,4,8,25,45
Indonesia,Asia,c,2011,F,2,3,11,13,6,0,0.0,30,11,10,5,9,35,65
Iran,MENA,c,2011,NF,6,6,2,2,2,0,0.0,6,2,2,3,4,11,17
Iraq,MENA,c,2011,NF,5,6,7,5,1,1,0.0,12,5,4,0,4,13,25
Ireland,Europe,c,2011,F,1,1,12,16,11,0,0.0,39,16,12,15,15,58,97
Israel,MENA,c,2011,F,1,2,12,14,10,0,0.0,36,13,12,11,11,47,83
Italy,Europe,c,2011,F,1,2,12,15,10,0,0.0,37,14,12,12,14,52,89
Jamaica,Americas,c,2011,F,2,3,12,13,8,0,0.0,33,15,9,6,10,40,73
Japan,Asia,c,2011,F,1,2,12,15,10,0,0.0,37,13,10,15,13,51,88
Jordan,MENA,c,2011,NF,6,5,2,5,3,0,0.0,10,7,3,6,8,24,34
Kazakhstan,Eurasia,c,2011,NF,6,5,2,3,1,0,0.0,6,7,3,4,8,22,28
Kenya,SSA,c,2011,PF,4,3,6,10,5,0,0.0,21,14,8,7,6,35,56
Kiribati,Asia,c,2011,F,1,1,12,16,8,0,0.0,36,15,12,15,13,55,91
Kosovo,Europe,c,2011,PF,5,4,6,7,3,1,0.0,15,8,6,5,7,26,41
Kuwait,MENA,c,2011,PF,4,5,4,9,6,0,0.0,19,7,5,7,6,25,44
Kyrgyzstan,Eurasia,c,2011,PF,5,5,6,6,3,2,0.0,13,8,5,4,7,24,37
Laos,Asia,c,2011,NF,7,6,0,0,0,0,0.0,0,4,1,2,5,12,12
Latvia,Europe,c,2011,F,2,2,12,14,7,0,0.0,33,15,12,12,13,52,85
Lebanon,MENA,c,2011,PF,5,3,5,9,3,0,0.0,17,12,8,6,9,35,52
Lesotho,SSA,c,2011,PF,3,3,9,11,9,0,0.0,29,14,7,11,9,41,70
Liberia,SSA,c,2011,PF,3,4,8,10,6,0,0.0,24,11,8,7,8,34,58
Libya,MENA,c,2011,NF,7,7,0,1,0,0,0.0,1,1,0,0,6,7,8
Liechtenstein,Europe,c,2011,F,1,1,12,16,12,0,0.0,40,16,12,16,16,60,100
Lithuania,Europe,c,2011,F,1,1,12,16,9,0,0.0,37,16,11,13,13,53,90
Luxembourg,Europe,c,2011,F,1,1,12,16,12,0,0.0,40,16,12,16,16,60,100
Macedonia,Europe,c,2011,PF,3,3,8,11,7,0,0.0,26,12,8,9,11,40,66
Madagascar,SSA,c,2011,PF,6,4,1,5,1,0,0.0,7,10,7,6,9,32,39
Malawi,SSA,c,2011,PF,3,4,8,11,7,0,0.0,26,11,7,9,7,34,60
Malaysia,Asia,c,2011,PF,4,4,6,8,6,0,0.0,20,9,6,6,8,29,49
Maldives,Asia,c,2011,PF,3,4,9,9,6,0,0.0,24,8,8,8,8,32,56
Mali,SSA,c,2011,F,2,3,9,13,9,0,0.0,31,16,10,8,7,41,72
Malta,Europe,c,2011,F,1,1,12,16,11,0,0.0,39,16,12,15,15,58,97
Marshall Islands,Asia,c,2011,F,1,1,11,15,10,0,0.0,36,16,11,15,13,55,91
Mauritania,SSA,c,2011,NF,6,5,3,3,5,0,0.0,11,9,5,4,5,23,34
Mauritius,SSA,c,2011,F,1,2,12,15,11,0,0.0,38,15,12,13,12,52,90
Mexico,Americas,c,2011,PF,3,3,10,12,7,0,0.0,29,13,8,6,10,37,66
Micronesia,Asia,c,2011,F,1,1,12,15,10,0,0.0,37,16,11,15,14,56,93
Moldova,Eurasia,c,2011,PF,3,3,10,12,5,0,0.0,27,11,8,8,9,36,63
Monaco,Europe,c,2011,F,2,1,10,11,10,0,0.0,31,15,12,15,14,56,87
Mongolia,Asia,c,2011,F,2,2,10,15,10,0,0.0,35,15,11,12,12,50,85
Montenegro,Europe,c,2011,F,3,2,9,11,7,0,0.0,27,13,10,10,12,45,72
Morocco,MENA,c,2011,PF,5,4,4,6,4,0,0.0,14,8,6,6,8,28,42
Mozambique,SSA,c,2011,PF,4,3,6,10,7,0,0.0,23,12,7,8,9,36,59
Myanmar,Asia,c,2011,NF,7,7,0,3,0,3,0.0,0,2,0,0,3,5,5
Nagorno-Karabakh,Eurasia,t,2011,NF,6,5,4,3,3,0,0.0,10,6,3,5,5,19,29
Namibia,SSA,c,2011,F,2,2,10,11,9,0,0.0,30,14,12,10,9,45,75
Nauru,Asia,c,2011,F,1,1,12,16,10,0,0.0,38,15,11,15,14,55,93
Nepal,Asia,c,2011,PF,4,4,6,11,3,0,0.0,20,9,6,6,7,28,48
Netherlands,Europe,c,2011,F,1,1,12,16,12,0,0.0,40,16,12,14,16,58,98
New Zealand,Asia,c,2011,F,1,1,12,15,12,0,0.0,39,16,12,15,15,58,97
Nicaragua,Americas,c,2011,PF,4,4,9,7,4,0,0.0,20,12,6,7,9,34,54
Niger,SSA,c,2011,PF,5,4,2,6,4,0,0.0,12,11,8,5,6,30,42
Nigeria,SSA,c,2011,PF,4,4,4,9,6,0,0.0,19,9,8,5,7,29,48
North Korea,Asia,c,2011,NF,7,7,0,0,0,0,0.0,0,0,0,0,1,1,1
Northern Cyprus,Europe,t,2011,F,2,2,11,14,9,0,0.0,34,14,9,12,12,47,81
Norway,Europe,c,2011,F,1,1,12,16,12,0,0.0,40,16,12,16,16,60,100
Oman,MENA,c,2011,NF,6,5,2,2,2,0,3.0,9,6,3,4,5,18,27
Pakistan,Asia,c,2011,PF,4,5,6,9,5,0,0.0,20,7,7,4,6,24,44
Pakistani Kashmir,Asia,t,2011,NF,6,5,3,4,3,2,0.0,8,6,5,4,6,21,29
Palau,Asia,c,2011,F,1,1,12,15,10,0,0.0,37,16,11,15,13,55,92
Panama,Americas,c,2011,F,1,2,12,15,9,0,0.0,36,15,11,9,12,47,83
Papua New Guinea,Asia,c,2011,PF,4,3,9,10,4,0,0.0,23,12,9,7,8,36,59
Paraguay,Americas,c,2011,PF,3,3,11,12,5,0,0.0,28,12,8,6,10,36,64
Peru,Americas,c,2011,F,2,3,11,13,7,0,0.0,31,15,8,8,10,41,72
Philippines,Asia,c,2011,PF,3,3,9,10,6,0,0.0,25,14,8,4,10,36,61
Poland,Europe,c,2011,F,1,1,12,16,10,0,0.0,38,16,12,13,14,55,93
Portugal,Europe,c,2011,F,1,1,12,16,11,0,0.0,39,16,12,15,15,58,97
Puerto Rico,Americas,t,2011,F,1,1,12,15,10,0,0.0,37,16,10,13,14,53,90
Qatar,MENA,c,2011,NF,6,5,2,2,3,0,3.0,10,8,2,4,4,18,28
Romania,Europe,c,2011,F,2,2,12,14,8,0,0.0,34,14,11,12,12,49,83
Russia,Eurasia,c,2011,NF,6,5,1,3,3,0,0.0,7,6,4,3,7,20,27
Rwanda,SSA,c,2011,NF,6,5,2,2,4,0,0.0,8,4,3,5,7,19,27
Samoa,Asia,c,2011,F,2,2,9,13,10,0,0.0,32,14,10,13,12,49,81
San Marino,Europe,c,2011,F,1,1,12,16,12,0,0.0,40,16,12,16,16,60,100
Sao Tome and Principe,SSA,c,2011,F,2,2,11,14,8,0,0.0,33,15,10,12,10,47,80
Saudi Arabia,MENA,c,2011,NF,7,6,0,0,1,0,2.0,3,4,0,3,2,9,12
Senegal,SSA,c,2011,PF,3,3,9,12,7,0,0.0,28,14,10,10,9,43,71
Serbia,Europe,c,2011,F,2,2,9,14,7,0,0.0,30,15,11,9,13,48,78
Seychelles,SSA,c,2011,PF,3,3,8,10,7,0,0.0,25,11,9,11,11,42,67
Sierra Leone,SSA,c,2011,PF,3,3,10,11,6,0,0.0,27,12,8,8,9,37,64
Singapore,Asia,c,2011,PF,5,4,4,6,7,0,0.0,17,9,3,7,12,31,48
Slovakia,Europe,c,2011,F,1,1,12,15,10,0,0.0,37,15,12,12,14,53,90
Slovenia,Europe,c,2011,F,1,1,12,15,11,0,0.0,38,14,12,14,13,53,91
Solomon Islands,Asia,c,2011,PF,4,3,6,10,6,0,0.0,22,13,9,8,12,42,64
Somalia,SSA,c,2011,NF,7,7,0,0,0,0,0.0,0,1,0,0,0,1,1
Somaliland,SSA,t,2011,PF,4,5,5,10,5,0,0.0,20,7,5,7,6,25,45
South Africa,SSA,c,2011,F,2,2,12,14,9,0,0.0,35,15,12,10,11,48,83
South Korea,Asia,c,2011,F,1,2,11,15,10,0,0.0,36,14,11,13,12,50,86
South Ossetia,Eurasia,t,2011,NF,7,6,0,0,0,3,0.0,-3,5,1,1,3,10,7
Spain,Europe,c,2011,F,1,1,12,16,12,0,0.0,40,16,12,14,15,57,97
Sri Lanka,Asia,c,2011,PF,5,4,6,6,5,0,0.0,17,8,6,6,8,28,45
St. Kitts and Nevis,Americas,c,2011,F,1,1,12,16,11,0,0.0,39,15,12,12,14,53,92
St. Lucia,Americas,c,2011,F,1,1,12,16,11,0,0.0,39,15,12,12,14,53,92
St. Vincent and the Grenadines,Americas,c,2011,F,1,1,11,16,9,0,0.0,36,15,11,13,14,53,89
Sudan,SSA,c,2011,NF,7,7,2,4,3,4,0.0,5,4,2,0,0,6,11
Suriname,Americas,c,2011,F,2,2,12,13,8,0,0.0,33,15,11,9,10,45,78
Swaziland,SSA,c,2011,NF,7,5,0,1,1,0,1.0,3,8,3,5,4,20,23
Sweden,Europe,c,2011,F,1,1,12,16,12,0,0.0,40,16,12,16,16,60,100
Switzerland,Europe,c,2011,F,1,1,12,15,12,0,0.0,39,15,12,15,15,57,96
Syria,MENA,c,2011,NF,7,6,0,0,1,0,0.0,1,2,0,1,5,8,9
Taiwan,Asia,c,2011,F,1,2,11,15,10,0,0.0,36,14,10,14,13,51,87
Tajikistan,Eurasia,c,2011,NF,6,5,2,4,2,0,0.0,8,6,4,4,4,18,26
Tanzania,SSA,c,2011,PF,3,3,9,12,7,0,0.0,28,11,7,10,8,36,64
Thailand,Asia,c,2011,PF,5,4,3,5,4,0,0.0,12,9,5,6,10,30,42
The Gambia,SSA,c,2011,PF,5,5,6,7,2,0,0.0,15,8,4,4,7,23,38
Tibet,Asia,t,2011,NF,7,7,0,0,1,3,0.0,-2,0,0,0,3,3,1
Timor-Leste,Asia,c,2011,PF,3,4,11,11,6,0,0.0,28,12,7,6,9,34,62
Togo,SSA,c,2011,PF,5,4,5,8,3,0,0.0,16,8,5,6,7,26,42
Tonga,Asia,c,2011,PF,3,3,11,14,4,0,0.0,29,12,7,11,12,42,71
Transnistria,Eurasia,t,2011,NF,6,6,2,4,1,0,0.0,7,6,2,2,5,15,22
Trinidad and Tobago,Americas,c,2011,F,2,2,11,13,9,0,0.0,33,15,11,10,13,49,82
Tunisia,MENA,c,2011,NF,7,5,1,3,1,0,0.0,5,4,2,4,8,18,23
Turkey,Europe,c,2011,PF,3,3,10,10,7,0,0.0,27,11,7,8,10,36,63
Turkmenistan,Eurasia,c,2011,NF,7,7,0,1,0,0,0.0,1,3,0,1,3,7,8
Tuvalu,Asia,c,2011,F,1,1,12,15,10,0,0.0,37,16,12,15,14,57,94
Uganda,SSA,c,2011,PF,5,4,4,7,4,0,0.0,15,11,6,6,7,30,45
Ukraine,Eurasia,c,2011,PF,3,3,9,13,5,0,0.0,27,11,9,9,11,40,67
United Arab Emirates,MENA,c,2011,NF,6,5,1,2,2,0,3.0,8,8,3,4,4,19,27
United Kingdom,Europe,c,2011,F,1,1,12,16,12,0,0.0,40,15,12,15,15,57,97
United States,Americas,c,2011,F,1,1,11,16,11,0,0.0,38,16,11,14,15,56,94
Uruguay,Americas,c,2011,F,1,1,12,16,11,0,0.0,39,16,12,15,15,58,97
Uzbekistan,Eurasia,c,2011,NF,7,7,0,0,0,0,0.0,0,1,0,0,3,4,4
Vanuatu,Asia,c,2011,F,2,2,9,15,8,0,0.0,32,16,11,10,11,48,80
Venezuela,Americas,c,2011,PF,5,5,6,8,3,0,0.0,17,9,4,5,7,25,42
Vietnam,Asia,c,2011,NF,7,5,0,1,1,0,0.0,2,5,1,4,8,18,20
West Bank,MENA,t,2011,NF,6,5,2,5,2,2,0.0,7,9,6,5,5,25,32
Western Sahara,MENA,t,2011,NF,7,6,0,0,0,2,0.0,-2,3,2,0,5,10,8
Yemen,MENA,c,2011,NF,6,5,4,4,3,0,0.0,11,7,3,3,5,18,29
Zambia,SSA,c,2011,PF,3,4,8,11,6,0,0.0,25,11,7,8,7,33,58
Zimbabwe,SSA,c,2011,NF,6,6,2,4,2,0,0.0,8,5,3,1,4,13,21
